 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor,PC1,PC2,PC3
422,Now That You've Gone (aka Now That You've Gone Away) (Puisaue Tu Pare),Connie Stevens,100,5B,42,2025-11-14,03:09,6,doo-wop,"Pop, R&B",The Very Best Of Connie Stevens,2012-07-25,42,93,0,35,0,20,-11,D#/E♭,4,44tD9x7HhCE5tYh88zzyrt,Rhino/Warner Records,USWB10403754,Angel,-2.8239026947451875,-0.15829053151950168,0.5693558645714536
423,Kingdom Hearts Key (ft. redveil),"JPEGMAFIA, Danny Brown, redveil",133,2B,93,2025-11-11,03:25,54,"experimental hip hop, alternative hip hop, experimental, underground hip hop","Hip Hop, Electronic, Jazz, Rock",SCARING THE HOES,2023-03-24,37,7,0,44,20,20,-2,F#/G♭,4,0VA5FzFlysCcSG1IdOkhUb,"2023 PEGGY under exclusive license to AWAL Recordings America, Inc.",QM4TX2336653,Micah,1.822389213494726,-1.323169822412384,1.550247945076177
424,The Story of O.J.,JAY-Z,166,9B,72,2025-11-11,03:51,60,"hip hop, east coast hip hop, rap",Hip Hop,4:44,2017-07-07,74,28,0,58,40,20,-6,G,4,6JpN5w95em8SODPiM7W2PH,Roc Nation / Jay-Z,QMJMT1701231,Micah,1.2314424845350824,0.49746954175798336,3.546275619019344
425,Weird Fishes / Arpeggi,Radiohead,153,10A,61,2025-11-11,05:18,79,"art rock, alternative rock",Rock,In Rainbows,2007-12-28,53,77,76,20,0,0,-8,B minor,4,4wajJ1o7jWIg62YqpkHC7S,XL Recordings,GBSTK0700004,Puffy,-2.211494068999091,-1.600103421649419,-1.3527074004188895
426,Control,Battle Tapes,115,11B,92,2025-11-11,03:10,33,,,Form,2017-07-14,62,0,0,55,0,0,-3,A,4,576EH31cSi4OYtW2tFd7Yh,Snafu Records,QM24S1702065,Clark,1.4864682201222277,0.30412673208311936,-0.9437180300998307
427,Судно (Борис Рыжий),Molchat Doma,160,3B,75,2025-11-11,02:21,73,"post-punk, darkwave, cold wave, gothic rock","Electronic, Rock",Этажи,2018-09-07,48,70,86,47,0,10,-4,C♯/D♭,4,1SHB1hp6267UK9bJQUxYvO,Sacred Bones Records,AEA0D1846146,Clark,-0.8399588057838688,-1.8164005484392332,-1.6714291659957687
428,明日があるさ,Kyu Sakamoto,95,4B,56,2025-11-11,03:17,39,"kayokyoku, enka","Traditional Music, Pop",ベスト9!,2009-09-09,58,57,0,79,0,0,-5,G#/A♭,4,7edUqTDihMDPMZmjHKvD6F,Universal Music LLC,JPTO07614790,Clark,-0.5512173568631777,1.3299124309514665,-0.780805515235767
429,Los Mejores Años de Nuestra Vida,Los Sirex,135,11B,72,2025-11-11,03:23,1,,,Los Sirex. 50 Aniversario,2009-01-01,55,48,0,77,0,20,-2,A,4,3Ve6TjPZfdybgwQvgvytYa,OK Records,ES64A0927021,Clark,0.8180762040226518,0.19341646938736154,-0.3424418733425638
430,Compass,Mili,88,3B,58,2025-11-13,02:48,64,anime,Pop,Compass,2023-12-18,51,16,40,19,0,10,-11,C♯/D♭,4,2Pg7QBO36ycIlNcK9aBJl0,HAAKO Records,TCJPY2344522,Aiden,-1.7929606035654337,-0.6221364121342311,-0.5399238657267447
431,Love Takes Miles,Cameron Winter,130,12B,64,2025-11-15,03:18,71,,,Heavy Metal,2024-12-06,60,67,20,53,0,10,-9,E,4,2zf1izCOz2F22PF27uhxRF,Partisan / Play It Again Sam,USBQU2400171,Tony,-1.272628116638697,0.15604047615555208,-0.4704698353159485
432,Kagefumi,百景,135,10B,64,2025-11-17,04:54,59,"math rock, japanese indie, midwest emo, post-rock, shoegaze","Pop, Rock",Standing Still In A Moving Scene,2006-06-07,35,25,88,13,0,10,-9,D,4,4VgGQi9FZMrNG4MuiONldI,Human Highway Records,JPZ100600074,Jean,-1.768371720231487,-2.6797238235404994,-1.372486462593099
433,Red String,Sweet Pill,184,11B,56,2025-11-17,03:16,47,"midwest emo, math rock",Rock,Where the Heart Is,2022-05-25,43,1,0,32,0,10,-7,A,4,6YkeaJLKrR6RtSY2pJB2fs,Topshelf Records,USEZ62225609,Jean,0.14037270550129605,-1.7022836703498128,-0.25705922291850075
434,Mata Hari,The Atomic Fireballs,121,10A,99,2025-11-20,03:44,30,"swing music, big band, boogie-woogie","Jazz, Blues",Torch This Place,1999-05-14,63,0,0,59,10,0,-2,B minor,4,4dz1G68QyAmn7JFO4dVWk0,Atlantic Records,USAT29900131,Gabe,2.048699873467476,0.3413893950938973,-0.12356973939573244
435,Automatic,Iration,135,9B,67,2025-11-20,04:31,47,"reggae rock, reggae, reggae pop, roots reggae","Reggae, Rock",Automatic,2013-07-02,77,5,0,87,0,0,-6,G,4,7jut3RkkxQpJAzMovUefDz,Three Prong Records under exclusive license from Iration Holdings,USQY51285928,Gabe,0.9194348398503224,1.523573548056776,-1.0715450406236315
436,The Place Where He Inserted the Blade,"Black Country, New Road",123,1B,45,2025-11-20,07:13,61,"art rock, post-rock",Rock,Ants From Up There,2022-02-04,38,40,0,16,0,10,-8,B,3,3k2kIiJqUiIP49iUcOLpWT,Ninja Tune,GBCFB2100672,Tony,-1.5718873616058016,-1.15895367316578,0.1639103137606574
437,Here Today,The Beach Boys,121,11B,64,2025-11-24,03:07,45,baroque pop,"Classical, Pop",Pet Sounds,1966-05-16,53,51,0,61,0,20,-8,A,4,2QHf2UijcOOpLgEsA3YOjm,Capitol Records,USCA29600663,Puffy,-0.616089955874667,0.17962165949526188,-0.004173943547269445
438,For The Weekend,SASAMI,180,5B,94,2025-11-24,02:48,25,,,Blood On the Silver Screen,2025-03-07,35,1,0,72,0,30,-6,D#/E♭,4,3aEL5BEVGThlYhaYPVmO50,Domino Recording Co,GBCEL2400176,Sarah,1.7761612390856334,-1.709842809516098,-0.26180908525732743
439,Let Me Be With You,ROUND TABLE featuring Nino,130,10B,95,2025-11-25,04:29,51,"shibuya-kei, japanese indie, anime","Pop, Rock, Electronic",APRIL,2003-04-23,63,12,0,84,0,30,-5,D,4,4UBt00S6TNsKwgfxMcfNal,Victor,JPVI00209150,Eunice,1.7122746153419892,0.4247084480623312,-0.2557154713665318
440,KONNANじゃないっ!,澤村 遥(釘宮理恵),155,7A,92,2025-11-25,05:10,40,,,龍が如く5 夢、叶えし者 オリジナルサウンドトラック (Vol.2),2012-12-26,52,10,0,62,0,20,-4,D minor,4,7d9SZZEOhF49sVaGRfPKv0,SEGA,JPR501205935,Eunice,1.6089702156124182,-0.7126781376924564,-0.3998324617475324
441,うまぴょい伝説 - Game Size,Various Artists,170,9A,97,2025-11-26,02:18,0,,,『ウマ娘 プリティーダービー』WINNING LIVE 01,2021-03-17,50,17,0,49,20,30,-4,E minor,5,7CPe0OIEIdeKEGH5EPqIEC,Lantis,JPZ922101722,Eunice,1.9143358750568316,-1.242525465211432,1.864945128253153
442,Atop a Cake,Alvvays,167,12B,84,2025-11-26,03:19,49,"dream pop, shoegaze, jangle pop, indie","Pop, Rock",Alvvays,2014-07-22,28,33,49,45,0,30,-4,E,4,6LC4cyrlOPeg2WXijaYrgj,Polyvinyl Records,US3R41428208,Eunice,0.3923683423860725,-2.7854735449861705,-0.656742104584531
443,Suicide of the 21st century,0.8Syooogeki,154,7B,98,2025-11-26,02:20,48,"visual kei, j-rock, shibuya-kei","Rock, Electronic, Pop, Metal",ESUNOFANKYDOFUTOEFUSUKICAMCAMCULB,2010-08-04,62,0,3,96,0,10,-3,F,4,6lkJKbOu7COoTKAqpC7xyR,actwise / MOONSHINE Inc.,JPD361000035,Eunice,2.424267409712201,0.3660862653601486,-1.1743777414977763
444,Winter Snakes,Joy Again,172,12B,42,2025-11-26,03:56,40,,,Joy Again,2017-01-17,35,20,0,19,0,0,-8,E,3,5A7ldx7fFEEsHvl5XEnGUA,Never Grow Up Records,uscgh1723893,Eunice,-1.0226538903908122,-1.8448969836775955,-0.2904634466719791
445,Sugar Boo,Serani Poji,90,4B,95,2025-11-26,03:33,52,"shibuya-kei, japanese indie","Pop, Rock, Electronic",MERRY GO ROUND JAILHOUSE,2010-03-03,67,37,7,96,0,10,-7,G#/A♭,4,3zeV6b2FMFsLHopzHHnS6J,WAVEMASTER ARTISTS,JPX301055210,Eunice,0.6872242004225418,1.6449953845695957,-0.9445350083684344
446,"Mais, non !",GIRLS BE,175,10B,78,2025-11-27,04:40,20,"shibuya-kei, japanese indie, city pop","Pop, Rock, Electronic",The French Operation,1997-08-21,40,0,9,48,0,10,-6,D,4,4j1F1van0g5sup8qKW4n5m,Victor,JPVI09717580,Eunice,0.8860570311964913,-1.6689719670546816,-0.693395168445145
447,La promesse de Cecile,GIRLS BE,125,11A,83,2025-11-27,04:48,24,"shibuya-kei, japanese indie, city pop","Pop, Rock, Electronic",The French Operation,1997-08-21,75,3,52,97,0,30,-10,F#/G♭ minor,4,5EPzSTLbLRosu217Z2C3FN,Victor,JPVI09717630,Eunice,0.5211795697579796,0.8074148128671128,-1.0835249348568825
448,Caution,The Killers,178,9B,89,2025-11-28,04:29,58,alternative rock,Rock,Imploding The Mirage,2020-08-21,23,2,0,8,10,0,-5,G,4,111HOSfnPX1mCxwwb49BCY,Island Records,USUM72005111,Clark,0.9022554054909071,-3.010768262250094,0.36979429125274405
449,Forget About What I Said - Bonus Track,The Killers,156,3B,97,2025-11-28,02:56,36,alternative rock,Rock,Day & Age (Bonus Tracks),2008-11-18,38,0,4,44,0,20,-5,C♯/D♭,4,4gcrcyOsydOBsmc9o1XnS0,Island Records,USUM70844200,Clark,1.4380595045311464,-1.7638657507019448,-0.3512564839545769
450,Just Another Girl,The Killers,137,3B,78,2025-11-28,04:21,43,alternative rock,Rock,Direct Hits,2013-01-01,55,0,1,16,0,10,-5,C♯/D♭,4,7Ag7dMaWTAYGkaAPghEtyw,Island Records,USUM71312001,Clark,0.5543350775199628,-1.039735931770583,-0.17364791042409136
451,６つ子の魂ナユタまで,AOP,140,11A,96,2025-11-28,04:08,24,anime,Pop,A応P the BEST ～From A～,2021-03-31,60,1,0,79,0,20,-4,F#/G♭ minor,4,75kMexSbGL06C3E3KBO5ah,"アニメ勝手に""応援プロジェクト""",TCJPO2159977,Eunice,1.9971656547812444,0.1088182726186637,-0.59525147248162
452,ゴクドルミュージック,ゴクドルズ虹組,174,12A,98,2025-11-28,03:32,21,anime,Pop,ゴクドルミュージック,2018-08-29,59,60,0,67,10,10,-4,C♯/D♭ minor,4,3x3BqSrtE0hXSHXjZmjD0w,Universal Music LLC,JPPO01803368,Eunice,1.2351755617975575,-0.27419353807916125,0.30479753336724297
453,we found two dead swans and filled their bodies with flowers,Teen Suicide,88,12B,24,2025-11-28,02:27,35,"lo-fi indie, midwest emo","Electronic, Rock",dc snuff film / waste yrself,2015-10-07,52,91,0,12,0,10,-9,E,1,7mAflP0IlAsIrGP3ed74d1,Run For Cover Records,QMCE71300301,Eunice,-3.312583883222814,0.17494458632475646,0.5715004017903922
454,Au Pays du Cocaine,Geese,79,4B,65,2025-12-01,03:30,72,art rock,Rock,Getting Killed,2025-09-26,43,24,0,54,0,10,-6,G#/A♭,4,1g9GiiPPaL7KcDHlDzu7lT,Partisan / Play It Again Sam,USBQU2500083,Tony,-0.3401864116643979,0.1702434417087112,-0.3696157134710581
455,Fly In The Freedom,SEGA SOUND TEAM,121,10A,81,2025-12-01,04:58,45,"japanese vgm, soundtrack","Electronic, Classical, Easy Listening",Sonic The Hedgehog ”Passion & Pride” Anthems with Attitude from the Sonic Adventure Era (Vox Collection),2014-09-10,66,31,2,84,0,10,-8,B minor,4,5axenkAeQSXtrKnCvzQOHG,WAVEMASTER ENTERTAINMENT,JPX301496630,Tony,0.4010595201897357,1.0912921978985564,-0.7069224035595619
456,Spaceman,The Killers,152,12B,88,2025-12-01,04:44,28,alternative rock,Rock,Rebel Diamonds,2023-12-08,52,0,0,81,0,10,-6,E,4,0qitgobJMCnKEpp0HVWslu,Island Records,USUM70842814,Clark,1.5117996989676696,-0.16277357064520853,-0.8883970851603998
457,25 or 6 to 4 - 2002 Remaster,Chicago,147,9A,91,2025-12-01,04:49,64,"yacht rock, soft rock","Rock, Pop",Chicago II,1970-01-26,60,31,6,72,0,0,-7,E minor,4,7GqIDx2QVGOpd4r1fZaUUW,Rhino,USRH10285518,Clark,0.7074812748282037,0.22372604675540447,-1.0612243818216174
458,Lisrim (Golden),Lies of P,155,10A,51,2025-12-01,03:32,39,,,Lies of P: Overture (ORIGINAL SOUNDTRACK),2025-09-19,58,46,35,56,0,10,-9,B minor,4,2ZmDLM1dEqIEfIJtxcXgaa,NEOWIZ,KRMIM2547164,Angel,-1.1934118411470243,-0.37841900014930374,-0.7899884634946107
459,Just The Two Of Us,"Marcin, Ichika Nito",101,11A,56,2025-12-01,01:41,49,math rock,Rock,Just The Two Of Us,2023-03-03,67,24,48,65,0,0,-9,F#/G♭ minor,4,6gzegpwruMz6a0LzeRpF4L,Masterworks,USSM12300756,Sam,-1.1081736801613333,0.7832634028958522,-1.4375113721836992
460,Starship Syncopation,"Cory Wong, Metropole Orkest, Jules Buckley",120,6B,86,2025-12-01,03:50,47,"funk, jazz funk, jazz fusion","R&B, Jazz, Electronic, Rock",Starship Syncopation,2024-07-26,79,23,92,83,0,10,-7,A#/B♭,4,0p1Mp6sT4Nzq3DWnZPvqs8,"Roundwound Media, LLC.",QZPLR2487964,Sam,0.03174347619753061,0.5247888950855163,-2.1941531394808442
461,Be Nice To Me,The Front Bottoms,119,5B,82,2025-12-02,02:47,64,"midwest emo, folk punk, emo","Rock, Folk",Rose,2014-06-17,34,2,0,70,0,10,-6,D#/E♭,4,7FtWXX2sRIGx95t3cPyHw8,Bar/None Records,US37V1422705,Nora,0.8706283467890286,-0.645410991872829,-0.7535530904863866
462,The Lipstick Lounge,76th Street,128,6B,67,2025-12-02,02:56,42,,,The Lipstick Lounge,2023-09-29,81,16,0,59,10,10,-6,A#/B♭,4,58YIFyWMKJZum8LlU41OAN,76th Street,USL4Q2339009,Nora,0.5941141781693475,1.247807804279462,0.5071825191907461
463,Mawce,Everybody's Worried About Owen,69,1A,47,2025-12-02,03:02,46,"midwest emo, folk punk","Folk, Rock",There Are Leeches In Denton Lake,2021-09-10,33,67,0,62,0,10,-9,G#/A♭ minor,3,4NVrOwMRWnKcDTESVVqMXM,"Everybody's Worried About Owen, under exclusive license to Amuseio AB",QZK6P2185870,Nora,-1.9864014096233586,0.352186349294783,-0.1756928339786797
464,DEBT COLLECTOR,Jhariah,193,3B,92,2025-12-02,02:32,51,,,A BEGINNER'S GUIDE TO FAKING YOUR DEATH,2021-07-23,42,0,0,39,10,10,-4,C♯/D♭,4,1b9K8zcencFmQl68Oot9DS,Jhariah,QZK6P2139533,Nora,1.7943298081880539,-1.9651822306149973,0.35010871707270236
465,House Is Not a Home,the Blue Devils,148,4B,70,2025-12-02,01:01,48,,,The Beat My Heart Skipped,2011-08-13,15,70,92,37,0,0,-7,G#/A♭,4,49dRXhDWFtG2Et5IxT0lxn,Blue Devils Mediabox,TCABA1128165,Nora,-1.9126694432160534,-3.1248024899348548,-1.9677681865773011
466,1-Up,Cricket!,146,7B,84,2025-12-02,03:27,35,"folk punk, anti-folk","Folk, Rock",Lucky Cricket,2023-06-30,57,80,0,62,30,30,-7,F,4,76xol14dA6ROwXiq935rMr,Cricket's Tunes,QZNWQ2397604,Nora,0.2597186574236401,0.060099936438530205,3.0274699960332714
467,アブノーマリティ・ダンシンガール,ぐちり,110,7A,90,2025-12-02,03:28,61,vocaloid,Electronic,憂象夢象,2021-09-20,52,7,0,28,0,20,-5,D minor,4,3sWcYSiFPCL5CNzU0H5Wau,U&R records,JPA652105408,Nora,0.7526311557892938,-0.7179407649122422,0.01629466442480555
468,Machine Love,Jamie Paige,175,4A,82,2025-12-02,03:36,35,vocaloid,Electronic,Constant Companions (Deluxe Edition),2024-07-11,64,23,1,63,0,0,-6,F minor,4,0vieqs2SQYZWIR9olTDYes,Sunrise 101.1,QT3FA2515952,Nora,0.9185276254856062,-0.09603318271332648,-0.9080786311248012
469,Lost Umbrella,INABAKUMORI,137,6B,92,2025-12-02,03:24,68,"vocaloid, j-pop, anime","Pop, Electronic",ANTICYCLONE,2019-11-17,72,4,0,97,0,20,-3,A#/B♭,4,2zAi85TQB7mLzl8P1ySAj9,U&R records,JPA651804033,Nora,2.248053851405194,1.0258024235581569,-0.7417186514354811
470,4K CARPET,passengerprincess,160,3B,82,2025-12-02,02:00,56,hyperpop,"Electronic, Pop",4K CARPET,2025-10-03,59,11,0,90,10,0,-2,C♯/D♭,4,284qRqsftKxNPWrejNEewL,@4kcarpet,QZZ7W2578397,Nora,2.0443195956421065,0.3691211729146511,-0.37850253791336175
471,FUKOUNA GIRL,STOMACH BOOK,163,4B,99,2025-12-02,03:53,65,,,GOODNIGHT HYPNOPOMP,2025-07-03,41,36,0,34,10,20,-1,G#/A♭,4,6RyCpAEHMj1nbopw1g2TsO,Spikechain Records,QZTAX2466153,Nora,1.6109041403213273,-1.7866355798170925,0.7799270477541357
472,God Must Hate Me,Catie Turner,77,10B,30,2025-12-02,02:29,56,,,God Must Hate Me,2021-11-23,46,97,0,7,10,10,-10,D,3,21xzFXSL2XkZ2mIzDDAqTK,Atlantic Records,USAT22107483,Nora,-3.4324136036628508,0.04179773070021266,1.5486887599086483
473,Seventh Heaven,INOHA,163,9B,90,2025-12-02,03:54,69,,,ALOHA INOHA,2024-05-03,43,0,0,48,0,30,-7,G,4,2x6iNna6wQexggFz8smJcB,INOHA Publishing,QZDA72402508,Nora,1.190561152325665,-1.5476980081846903,0.060042307466584594
474,Unsweetened Lemonade (Stripped),Amélie Farren,120,6B,46,2025-12-02,02:12,55,,,Unsweetened Lemonade (Stripped),2024-02-02,79,57,0,72,0,0,-11,A#/B♭,4,2qn09TDvmIHiTkMDAIuDA9,Amélie Farren / TNP Music,GBLFP2435209,Nora,-1.4843016566306546,1.940168204892126,-0.5164972717025793
475,Average,Sushi Soucy,165,8B,26,2025-12-02,02:00,51,,,Average,2021-11-12,57,77,0,19,0,10,-13,C,3,0L0qikeCR07Gm1Ep7Gipkv,Sushi Soucy,TCAFX2103367,Nora,-2.9770038144243,-0.5182958354834186,0.45738543336572357
476,Friendly Neighborhood Poltergeist,Rory Webley,108,5A,60,2025-12-02,03:01,48,,,Are You Scared Yet?,2020-07-10,65,43,0,13,0,10,-6,C minor,4,1ar6wTpooDS4vTlWg7YkN2,RCW Records,US23A1501854,Nora,-0.93678167531016,0.024164185011446185,0.1816459675752093
477,Prom Queen,Beach Bunny,143,12B,80,2025-12-02,02:16,80,,,Prom Queen,2018-08-10,53,0,1,76,0,10,-7,E,4,6GJdFTOm23lC5bqjYSMJTj,Mom+Pop,QZDA71885746,Nora,1.0369014334358422,-0.030793253537193078,-0.7857877189854903
478,Notion,The Rare Occasions,159,11B,88,2025-12-02,03:15,84,,,Notion,2021-12-02,31,7,0,31,0,0,-4,A,4,0sTlGEld0h8kIPZaKDYUf4,Elektra (NEK),USHM21617726,Nora,0.9774624626889941,-2.0271688227713693,-0.7472763559427543
479,Hey Lover!,Wabie,117,12B,71,2025-12-02,02:42,61,bedroom pop,Pop,Cyclones and Hey Lover,2019-06-18,58,0,0,52,0,30,-11,E,4,1E5bfMPGyHlMLljzF1FWU6,Wabie Records,QZWFJ2518915,Nora,-0.07312282266409822,0.014146938678162559,0.2609299664079786
480,Digital Silence,Peter McPoland,180,3A,97,2025-12-02,03:18,63,,,Piggy,2023-08-11,39,9,0,45,10,20,-1,A#/B♭ minor,4,05UdmOwDMr4LsAk56AFfsE,Columbia,USSM12302063,Nora,2.244165600107619,-1.974052846179088,0.5555177477652642
481,Promise,Laufey,76,7B,11,2025-12-02,03:54,78,,,Bewitched,2023-09-08,26,94,0,9,0,0,-17,F,4,08PdFBcXzpkn1cWNgmKqhn,Laufey,QMDA62312092,Nora,-5.202323865134041,-0.46482165541168463,0.4596921465454327
482,Radio,Bershy,132,8B,79,2025-12-02,03:21,77,,,Radio,2022-10-07,67,17,0,72,0,10,-5,C,4,3l8ACerUtJfRd0rxJJ4Gkx,Bridge Between Records,GBWUL2270670,Nora,0.9879203848075657,0.6796529287387808,-0.6547234244806528
483,"Go Easy, Kid (with James Blake)","Monica Martin, James Blake",122,5B,20,2025-12-02,04:27,35,,,"Go Easy, Kid (with James Blake)",2022-02-24,39,96,0,25,0,10,-13,D#/E♭,4,6SRgFtpZmRsYNR3Kj5sHCf,things we like,GBKPL2283734,TJ,-3.7728625604211827,-0.48036577031465305,0.48383431255029274
484,Stop This Train,John Mayer,90,9B,44,2025-12-02,04:45,62,singer-songwriter,Folk,Continuum,2006-09-11,62,47,1,41,0,10,-12,G,4,3E6iea9uEmB7gRru4lyP6h,Aware/Columbia,USSM10603631,TJ,-2.1215519834689873,0.9086240888184799,0.0820701416397729
485,Don't Think About My Death,The Wood Brothers,115,8A,74,2025-12-02,03:38,13,"bluegrass, newgrass, americana, folk","Country, Folk",Kingdom in My Mind,2020-01-24,58,27,0,79,0,10,-8,A minor,4,0WcGi8He0sFX8oJpAp79rN,Honey Jar Records,USCTT1900019,Shelbie,0.16499868120555172,0.7893429437138015,-0.6192181340600361
486,これが私の生きる道 - Full-大編成 Ver.,北宇治高校吹奏楽部,124,12A,58,2025-12-02,03:38,0,brass band,"Classical, Traditional Music",『劇場版 響け！ユーフォニアム～誓いのフィナーレ～』オリジナルサウンドトラック「The Endless Melody」 (Incomplete Edition),2019-05-22,64,58,34,76,0,30,-8,C♯/D♭ minor,4,0gzymHa4J5ksjvx5PoVONZ,Lantis,JPI101900821,Shelbie,-0.8762162915341801,0.45595298774473575,-0.3242261748688927
487,Cover of Me,SUGR?,108,3B,86,2025-12-02,03:00,33,,,Cover of Me,2023-07-28,70,7,0,77,0,0,-3,C♯/D♭,4,6xSGp1DgLp1MMpNUntpXG5,SUGR?,TCAHH2360565,Sarah,1.4689697515291582,1.2279176294116572,-1.0960093890672924
488,Grapes,James Marriott,132,10B,93,2025-12-02,03:45,58,,,Bitter Tongues,2022-06-24,53,0,0,62,0,20,-4,D,4,5XKJ5JwJeeQbLjeXF9ieCI,James Marriott,USA2P2226310,Sarah,1.6462823803132918,-0.3911195529858315,-0.4168305754964442
489,Down Under,Men At Work,107,10A,46,2025-12-03,03:42,82,,,Business As Usual,1981-11-09,74,13,2,89,0,0,-14,B minor,4,3ZZq9396zv8pcn5GYVhxUi,Columbia,USSM18100411,Miller,-1.1350868671282088,2.1233041472336156,-0.8293267945242505
490,Shoop,Salt-N-Pepa,97,8B,67,2025-12-03,04:08,72,old school hip hop,Hip Hop,Very Necessary,1993-10-12,94,9,0,79,20,0,-7,C,4,0Pu71wxadDlB8fJXfjIjeJ,Mercury Records,USWWW0126118,Bryce,0.7281214589612682,2.792811877828243,0.956112455324064
491,空色デイズ,Shoko Nakagawa,174,10A,95,2025-12-03,04:12,58,"anime, j-rock, j-pop","Pop, Rock",しょこたん☆べすと――(°∀°)――!!,2007-00-00,38,0,0,54,10,20,-3,B minor,4,4EkbGJChszyxhEP0bIwBSZ,Sony Music Labels Inc.,JPSR00701221,Bryce,2.1047121243589593,-1.7374564691749845,0.47889614038594086
492,Scent Of Love,Helena Noguerra,142,2A,94,2025-12-03,03:25,42,french pop,Pop,パチスロ ベヨネッタ サウンド･トラック,2016-03-16,51,0,0,56,0,30,-7,D#/E♭ minor,4,7jmo9JsmUDycEnubrAtaPo,WAVE MASTER,JPR501513897,Bryce,1.2828465737940875,-0.7856736749984855,-0.0028442305608030434
493,Baby It's Cold Outside (with Michael Bublé),"Idina Menzel, Michael Bublé",113,8B,48,2025-12-03,02:46,86,"musicals, christmas","Pop, Classical, Easy Listening",Holiday Wishes,2014-10-10,55,65,0,56,0,20,-9,C,3,0Ie5uiv54KgCr7P4sYDTHl,Warner Records,USWB11402616,Bryce,-1.5047757678237434,0.4500517801539046,0.20301186179024405
494,Une vie à t'aimer,"Lorien Testard, Alice Duport-Percier, Victor Borba",180,9A,86,2025-12-03,11:00,69,soundtrack,"Classical, Easy Listening",Clair Obscur: Expedition 33 (Original Soundtrack),2025-04-24,16,6,0,7,20,30,-4,E minor,4,4QEXM9na0mWIIt5Hwbsges,Laced Records,NL8RL2513794,Micah,1.213453123739221,-3.6128350590953655,2.221940449536576
495,Désolé (feat. Fatoumata Diawara) - Extended Version,"Gorillaz, Fatoumata Diawara",136,9A,69,2025-12-03,05:33,55,,,"Song Machine, Season One: Strange Timez (Deluxe)",2020-10-23,73,34,23,86,0,0,-8,E minor,4,7rhtPZkcGCWgA3kizGwXwO,Parlophone UK,GBAYE2000649,Puffy,-0.04668531662323658,1.177638351833271,-1.3116136191764356
496,Talk Too Much,COIN,104,12B,89,2025-12-03,03:08,64,,,How Will You Know If You Never Try,2017-04-21,60,1,0,48,0,30,-5,E,4,4djIFfof5TpbSGRZUpsTXq,StarTime International/Columbia,USSM11602662,Puffy,1.127873992841469,-0.03232012064574239,0.1266562908896154
497,Here Come The Aliens!,Seb Lowe,126,10A,81,2025-12-03,03:35,44,,,Here Come The Aliens!,2025-02-12,57,0,0,47,0,20,-6,B minor,4,0c9HS1NHLhLY6rhKWS6ufE,Independent,UKXN22540635,Gabe,0.852515906633711,-0.30550432947992817,-0.15065737344569993
498,Achilles Come Down,Gang of Youths,180,5A,52,2025-12-03,07:02,66,,,Go Farther In Lightness,2017-08-18,22,44,28,15,0,20,-9,C minor,3,22TntnVO3lQNDR5nsvxGRs,Mosy Music,AUBM01700503,Gabe,-1.5044221714011903,-3.099789176615481,-0.058673142796323186
499,I Will Never (Be Your Friend),Irish Stew of Sindidun,122,8B,91,2025-12-05,05:06,22,"celtic rock, celtic punk, celtic","Folk, Traditional Music, Rock",Dare to Dream,2008-01-01,54,16,0,56,0,20,-4,C,4,5OKPWZpiKFdTQWEBXBKL5I,Phonofile Balkan,NOAPI1588076,Sarah,1.1958593944846272,-0.258723775601913,-0.2753741664756403
500,She's So Nice,Pink Guy,86,11A,58,2025-12-07,02:43,60,,,Pink Season,2017-01-04,83,60,0,59,10,0,-8,F#/G♭ minor,4,0Dfctnkk9xIikDKJ06uwzo,Pink Records,QZ4JJ1704549,Kathryn,-1.0084151025432113,2.270845713252951,0.4762736477242516
601,Dragostea din tei,O-Zone,130,8B,97,2025-12-07,03:35,71,"europop, eurodance","Electronic, Pop",DiscO-Zone,2004-02-23,80,18,0,68,0,0,-4,C,4,52Zr0sinhWTCRrQhRRY4EP,Cat Music,ROMSA0600487,Kathryn,1.519971767854368,1.1676683401570507,-0.9873802643628542
602,From The Start,Laufey,81,3B,34,2025-12-07,02:49,87,,,Bewitched,2023-09-08,55,89,0,83,0,10,-10,C♯/D♭,4,43iIQbw5hx986dUEZbr3eN,Laufey,QMDA62312093,Aiden,-2.381278492082086,1.7108875688844494,-0.19451251987892726
603,Push The Pace,"temcandoanything, Kasane Teto, GUMI",117,9A,72,2025-12-07,03:02,44,"vocaloid, anime","Pop, Electronic",Push The Pace,2025-11-28,74,44,3,43,0,10,-6,E minor,4,3rJbcXJdRGtZhehHWO0j6j,temcandoanything,QT3FC2588167,Aiden,-0.21663552229577998,0.7529794691649686,-0.21888978808996953
604,Take Your Own Advice,Venjent,172,7B,96,2025-12-07,03:23,43,drum and bass,Electronic,Take Your Own Advice,2025-10-13,27,1,3,6,30,10,-2,F,4,1vhYsmV8hxv2qxDMySDz88,Chilli Tribe Records,QZYD92500482,Sam,1.8222479104352967,-2.917456553751314,2.4090942962245014
