 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor,PC1,PC2,PC3
209,Big Sea,Crash Of Rhinos,81,8B,76,2025-08-07,06:18,22,"midwest emo, math rock, emo, screamo","Rock, Metal",Distal,2010-01-01,12,1,2,23,0,30,-9,C,4,5UFzXWYvju4bkxixKI1xxJ,Brave or Invincible Records,GB-SMU-10-22886,Tony,-0.5253858035996805,-2.1132258439951146,0.3927243257346817
210,It's Time,Truth Club,97,10B,82,2025-08-07,03:15,35,,,It's Time,2023-01-17,55,1,77,67,0,20,-8,D,3,5geQYZg1Lf3Le3iFfqqfQU,Sipsman,USA2B2213407,Tony,-0.1246493461690983,-0.45917678120061367,-1.5518234541445586
211,Olive Garden,PUP,114,7A,87,2025-08-07,01:52,36,"midwest emo, indie punk, emo, punk",Rock,Who Will Look After The Dogs?,2025-05-02,47,0,0,23,0,30,-5,D minor,4,69zDL7sUAbceYWtOlb3ek7,Rise Records,QMRSZ2402032,Tony,0.8014919891189272,-1.1988205608713602,0.35305538210936016
212,Friends,Jesse Welles,79,12B,31,2025-08-09,04:12,39,"folk punk, folk","Folk, Rock",Friends,2025-05-09,61,87,0,60,0,10,-10,E,4,5sofFSrkePZcVFmtvNyOBl,Jesse Welles,QM24S2502384,Miller,-2.672148423883728,1.5683380385118082,0.0707277467993478
213,The Poor,Jesse Welles,98,4B,43,2025-08-09,02:45,52,"folk punk, folk","Folk, Rock",The Poor,2024-07-26,58,74,0,31,0,10,-9,G#/A♭,4,5ylbNyulzqOL2kqtAxMjlz,Jesse Welles,QM24S2404503,Miller,-2.225462796433795,0.4803045257899375,0.23023645674450627
214,Zzz (Acappella Version),Sayaka Sasaki,154,3B,44,2025-08-13,02:47,0,anime,Pop,Zzz,2011-05-25,70,80,0,38,0,20,-7,C♯/D♭,4,3nnoOmCi4pmepk4paaEIo4,Lantis,JPI101100781,Shelbie,-1.4015580299497123,0.21676688536613273,0.4264554661969098
215,I'll Fall,"bo en, Coris",120,8A,46,2025-08-13,03:38,29,,,Pale Machine Expansion Pack Singles,2014-02-14,82,53,0,52,10,0,-8,A minor,4,0tOyrixMQ17NUznPIxYtVD,bo entertainment,QM2PV1530429,Shelbie,-1.046540049478398,1.6768515654249772,0.5455405815778751
216,Everything You Do,The Happy Fits,150,12A,93,2025-08-13,03:32,43,,,Everything You Do,2025-05-01,44,1,0,58,0,30,-4,C♯/D♭ minor,4,26lhSA6OWdK5MYM31gklqj,Many Hats Distribution,QZNWP2551642,Clark,1.7250153046498278,-1.2110472229634295,-0.09829305915895861
217,Ojos de Girasol,Darviin,90,1B,24,2025-08-16,04:29,59,bolero,"Latin, Traditional Music",Ojos de Girasol,2022-11-14,66,91,9,25,0,20,-15,B,4,3TIbBfQEDiM3nZiyIf4wFy,"Darviin, under exclusive license to Amuseio AB",MX2832308188,Angel,-3.975056724094259,0.9069066976892417,0.7494393275162026
218,Slow Jamz,"Twista, Kanye West, Jamie Foxx",145,7A,73,2025-08-20,05:16,73,rap,Hip Hop,The College Dropout,2004-02-10,56,31,0,61,10,20,-6,D minor,4,3A4cpTBPaIQdtPFb5JxtaX,Roc-A-Fella,USAT20303708,Micah,0.5668886252537174,-0.12278403053121613,0.7463314606925322
219,777,"Bruno Mars, Anderson .Paak, Silk Sonic",102,3B,62,2025-08-20,02:45,60,,,An Evening With Silk Sonic,2021-11-12,84,0,0,89,0,30,-11,C♯/D♭,4,2K6vUau7bnZUamjbRSOOvJ,Aftermath Entertainment/Atlantic,USAT22106194,Micah,0.16733477000617022,2.105462552948139,-0.00792561073333343
220,"How much I Love you,baby",Satellite Lovers,184,11B,47,2025-08-24,04:51,46,"shibuya-kei, japanese indie, city pop","Pop, Rock, Electronic",Sons of 1973,1996-07-01,51,44,86,85,0,10,-13,A,4,2DPg74vcxFDe9dOzioTYMA,Sony Music Labels Inc.,JPB209600056,Angel,-1.8233849745405712,-1.013143718300011,-1.879160324251911
221,Fame is a Gun,Addison Rae,138,2A,40,2025-08-30,03:03,84,,,Addison,2025-06-06,69,17,0,41,0,10,-7,D#/E♭ minor,4,7B3BwNecBhKvNwSMOOl7Gk,Columbia,USSM12501572,Theresa,-0.6032213411388595,0.37954928593528586,-0.1137491391546023
222,Little Lies,Fleetwood Mac,125,10B,69,2025-08-30,03:38,67,"classic rock, yacht rock, soft rock","Rock, Pop",Greatest Hits,1988-11-21,63,12,0,89,0,10,-10,D,4,08o75xMKmGrKny6GsXrNJW,Warner Records,USWB19900207,Theresa,0.2050741539943122,1.0808134151341016,-0.7138251650037614
223,Sh-Boom,The Chords,137,7B,52,2025-09-03,02:24,69,doo-wop,"Pop, R&B",Life Could Be a Dream: The Sh-Boom Sound of The Chords,2022-11-18,66,61,0,89,0,20,-8,F,4,2drXvACELcvwryaFRiRPdA,Warner Music Group - X5 Music Group,USAT20703265,Sam,-0.5784823169805705,1.1633697266021965,-0.18992072808965652
224,Orange Colored Sky - As Heard on “Fallout” (Series),Nat King Cole,129,6B,24,2025-09-03,02:33,64,"christmas, adult standards, vocal jazz","Easy Listening, Pop, Jazz",The Nat King Cole Story,1961-09-25,54,92,0,49,0,10,-15,A#/B♭,4,6fUDNcmsnnUVyOtEnA9xdC,Capitol Records,USCA29101184,Sam,-3.4910271283675245,0.5295500535903384,0.2687536613039141
225,Stupid (Can’t run from the urge),underscores,136,8A,67,2025-11-11,03:04,40,hyperpop,"Electronic, Pop",Wallsocket (Director's Cut),2024-06-28,75,1,0,83,0,20,-4,A minor,4,51vRYl0OqozBFkhBzAPzKI,Mom+Pop,USQE92400115,Jean,1.363679224334629,1.0710035073220756,-0.4641321548890588
226,Love Kills,"Levinsky, Sandra Bullet",115,7B,42,2025-09-05,04:20,0,synthwave,Electronic,Love Kills,2019-01-19,68,0,4,40,0,10,-13,F,4,5rJxh1aDc7APBuNtyrhmSv,771822 Records DK,QZ8LD1972789,Shelbie,-1.3711621564114773,0.6438687325387383,-0.10480122587067893
227,FATHER FIGURE,Jon Bellion,95,1A,75,2025-09-05,03:51,54,,,FATHER FIGURE,2025-06-04,64,10,0,23,0,10,-7,G#/A♭ minor,4,2GEoDwjcRfDxHOiLbi7CWS,Jon Bellion,USA2P2505010,TJ,-0.13563004416457572,0.16754400109511122,-0.08188912395072159
228,Retrograde,James Blake,78,6A,25,2025-09-05,03:43,62,,,Overgrown,2013-04-08,53,87,10,19,0,10,-11,G minor,4,2IqjKEBiz0CdLKdkXhxw84,Polydor Records,GBUM71300788,TJ,-3.5914340608054958,0.39632390846178883,0.36669235971568964
229,Where's Your Head At,Basement Jaxx,128,8B,92,2025-09-06,04:45,70,big beat,Electronic,Rooty,2001-06-25,61,0,9,42,0,20,-5,C,4,3cJh89D0za2SW705fNBo3b,XL Recordings,GBBKS0100014,Shelbie,1.1738591270116412,-0.45215291368498917,-0.3050219676009688
230,Sway,Michael Bublé,126,7A,64,2025-09-07,03:08,76,christmas,Pop,Michael Bublé,2003-00-00,71,75,0,74,0,0,-6,D minor,4,2ajUl8lBLAXOXNpG4NEPMz,143/Reprise,USRE10201551,Kathryn,-0.5671312717865673,1.3931660388432638,-0.6760650794157821
231,Stigma,BTS,136,5A,48,2025-09-07,03:36,63,k-pop,Pop,Wings,2016-10-10,57,15,0,34,0,10,-6,C minor,4,3LTwMQ9kkn5VVhP3jipBlR,BIGHIT MUSIC,KRA381601895,Kathryn,-0.38053505943355836,-0.32105923605271797,-0.13131935389338575
232,Dearly Beloved - Unchained χ Version-,Yoko Shimomura,148,5B,39,2025-09-07,03:29,35,"soundtrack, japanese vgm","Electronic, Classical, Easy Listening","KINGDOM HEARTS - III, II.8, Unchained χ & Union χ [Cross] – (Original Soundtrack)",2020-11-11,32,90,94,12,0,10,-12,D#/E♭,4,383hvtumCvxKwCddwT9Po5,Walt Disney Records,USWD12097541,Kathryn,-3.9193632097492013,-2.639031637908261,-1.0736665395730225
233,Mickey Mouse March,Jimmie Dodd,132,8B,53,2025-09-07,02:06,29,,,KINGDOM HEARTS -HD 2.5 ReMIX- (Original Soundtrack),2023-02-08,76,78,0,59,0,10,-10,C,4,11RJj3WJ8ajZwuw0KuMpfV,Walt Disney Records,USWD11468770,Kathryn,-1.5262269591802677,1.2897674067637392,-0.06164061440119443
234,Catch Me If You Can,SEGA SOUND TEAM,100,3B,89,2025-09-07,03:36,46,"japanese vgm, soundtrack","Electronic, Classical, Easy Listening",Sonic Riders Shooting Star Story Original Soundtrack ”Zero Gravity Tracks”,2008-01-17,63,17,0,90,0,30,-5,C♯/D♭,4,4gyep5Oh5XqhBC8dCaPRKS,WAVE MASTER,JPX300730170,Micah,1.338414764016516,1.009764844750678,-0.24613179506637953
235,Ring Ring Ring,"Tyler, The Creator",119,2B,72,2025-09-07,03:21,77,,,DON'T TAP THE GLASS,2025-07-21,76,25,0,69,0,60,-6,F#/G♭,4,1lTqq0aC6r2bXLviQ3oaVt,Columbia,USQX92503274,Micah,0.784904964679568,0.7268875119823481,1.0514650842242224
