 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor
63,Numb,The Airborne Toxic Event,130,9B,93,2025-06-19,04:05,35,,,All At Once,2011-01-01,39,0,3,21,0,10,-5,G,4,05YjOA73Fd1qI7we1aQPYW,Island Records,USUM71101911,Clark
64,Raised By Wolves,Voxtrot,151,11B,86,2025-06-19,04:40,20,,,Raised By Wolves,2005-07-25,41,8,0,69,0,20,-5,A,4,6B1lEzgRg652g56nz5TEik,Cult Hero Records,ushm80559015,Clark
65,Impressively Average,Brigitte Calls Me Baby,86,7B,93,2025-06-20,03:18,0,,,Impressively Average,2023-10-03,36,1,0,54,0,20,-3,F,4,1sL6n9kMtrlAvPokQKlZGP,ATO Records,QZPLR2221383,Clark
66,Unspeakable Things,Kiwi jr.,138,9B,81,2025-06-20,03:29,20,jangle pop,"Pop, Rock",Chopper,2022-08-12,38,0,0,37,0,10,-6,G,4,26ntTyXWuJDow30dEsFTz3,Sub Pop Records,USSUB2150001,Clark
67,Ridin' In My Car,NRBQ,153,9B,85,2025-06-20,02:54,35,"power pop, roots rock","Pop, Rock",All Hopped Up (Deluxe),1977-01-01,58,13,0,89,0,0,-8,G,4,6DDUPXlsye5uUvFTgm4Jn1,Omnivore Recordings,QMWHB1811760,Clark
68,Wish You Were Here,Pink Floyd,123,9B,26,2025-06-20,05:38,83,"progressive rock, psychedelic rock, classic rock, art rock, rock",Rock,Wish You Were Here,1975-09-12,48,74,1,38,0,80,-16,G,4,6mFkJmJqdDVQ1REhVfGgd1,Pink Floyd Records,GBN9Y1100088,Sam
69,Long Legged Larry,Aesop Rock,85,4A,83,2025-06-20,03:17,40,"underground hip hop, experimental hip hop, alternative hip hop",Hip Hop,Long Legged Larry,2021-03-19,75,4,0,73,30,0,-5,F minor,4,0OX9lzZxKlbtn3c2d97uqz,Rhymesayers,USBWK1900127,Sam
70,Mercury,Steve Lacy,151,8A,75,2025-06-20,04:55,63,,,Gemini Rights,2022-07-15,70,54,1,89,0,30,-6,A minor,3,6uVZddXkgQIArp8myEHs4x,L-M Records/RCA Records,USRC12201526,Theresa
71,Do It Again,Steely Dan,125,7A,43,2025-06-20,05:57,74,"yacht rock, classic rock","Rock, Pop",Can't Buy A Thrill,1972-11-01,66,34,0,94,0,0,-15,D minor,4,2LXISHBkx8FyoxCBkckh19,Geffen,USMC17347179,Theresa
72,Volcano,The Presidents Of The United States Of America,151,5B,91,2025-06-24,02:58,0,"grunge, alternative rock",Rock,II,1996-11-05,51,14,0,89,0,10,-5,D#/E♭,4,09JxX9P3dqSl0I3lDGrTie,Columbia,USSM19603286,Sam
73,Just What I Needed,The Cars,127,12B,58,2025-06-24,03:45,70,"power pop, new wave, classic rock","Rock, Pop",The Cars,1978-06-06,62,2,0,69,0,0,-9,E,4,4alHo6RGd0D3OUbTPExTHN,Elektra Records,USEE17500009,Sam
74,Don't Think Twice,Hikaru Utada,128,6A,67,2025-07-02,04:33,41,"j-pop, j-r&b, anime","Pop, R&B",Face My Fears,2019-01-18,51,64,0,35,0,10,-6,G minor,3,3api9OUOuIpNec9HIfHpcN,NITRON concepts,JPU901803908,Micah
75,One On One. (feat. Headband Henny) - Remix,"Micah Dailey-White, Headband Henny",101,11B,70,2025-07-02,03:32,52,,,Micah.,2024-06-18,73,14,0,66,0,10,-5,A,3,3tK8OFi7R6lQBC00KClbZm,Columbia,USSM12404731,Micah
76,Who's Sorry Now,Connie Francis,88,5B,33,2025-07-04,02:16,49,,,Gold,2005-06-14,52,76,0,44,0,30,-6,D#/E♭,4,4bzvhZFlV9UqQ3EmV2i8s4,Universal Records,USF095800910,Kathryn
77,Nearly Beloved,The Wallflowers,166,9A,80,2025-07-04,04:00,0,,,"Rebel, Sweetheart",2005-01-01,40,0,0,76,0,0,-6,E minor,4,5SLioHAGWMPXGfSJB8t8u5,Interscope,USIR10500667,Miller
78,Rock To My Roll,Anarbor,123,5B,81,2025-07-04,02:47,31,pop punk,"Pop, Rock",Burnout (Deluxe Version),2013-06-04,59,32,0,58,0,10,-4,D#/E♭,4,03usyN6eZAubHvEGb62oId,Hopeless Records,USHR21254012,Miller
79,"It's Been a Long, Long Time",Harry James,75,8B,22,2025-07-04,03:25,59,"big band, swing music, jazz",Jazz,Texas Chatter,2008-10-29,28,95,0,36,0,30,-10,C,4,4rfh0qEv1HdKRXWiRXfzWF,BD Audio Digital,DEEF20810840,Kathryn
80,FINGER,Mother Mother,140,9A,77,2025-07-05,02:59,37,,,FINGER,2025-05-23,73,10,0,75,0,30,-6,E minor,4,0NPkaQcG0lTv1KBtlgpMFy,WM Canada,CAW112500020,Hannah
81,Drinka Little Poison (4 U Die),"The Soul Rebels, John Mooney",113,12B,90,2025-07-06,02:59,26,"brass band, new orleans bounce, cajun, country blues, ragtime","Classical, Traditional Music, Blues, Country, Jazz","Treme: Music From The HBO Original Series, Season 1",2010-09-28,50,59,0,64,20,60,-6,E,4,7acANHrTtsfKNQIwK12LUX,Interscope,USKAG1010005,Shelbie
82,Nausea,Jeff Rosenstock,135,8B,75,2025-07-06,02:44,0,"folk punk, indie punk, power pop","Folk, Rock, Pop",We Cool?,2015-03-03,45,38,0,53,0,30,-6,C,4,0wn7AelIhpkAaO5lU1CEZ9,SideOneDummy Records,USA6G1455604,Shelbie
